tmstm,rssi,type,mac
271723,-79,48,5c0339b443d2
271737,-87,80,345760ecae40
271794,-87,80,fcb4e6c5ee2a
271798,-73,80,9897d19bbdf8
271825,-71,80,d06f820dca00
271833,-71,88,d06f820dca00
271837,-64,48,009acdbcffe3
271840,-88,80,345760ecae40
271847,-21,c8,e4a471e5f2ef
271895,-85,80,fcb4e6c5ee2a
271900,-74,80,9897d19bbdf8
271909,-21,88,e4a471e5f2ef
271913,-71,88,d06f820dca00
271927,-72,80,d06f820dca00
271942,-89,80,345760ecae40
271999,-89,80,fcb4e6c5ee2a
272003,-73,80,9897d19bbdf8
272003,-70,08,9897d19bbdf8
272014,-21,c8,e4a471e5f2ef
272030,-72,80,d06f820dca00
272044,-88,80,345760ecae40
272100,-85,80,fcb4e6c5ee2a
272105,-74,80,9897d19bbdf8
274153,-66,80,10c25a50cbd1
274166,-85,80,b0c28721bc6a
274168,-86,80,b2c28721bc6b
274188,-90,80,a09d86167618
274314,-94,80,70037e004f5b
276148,-93,80,84c9c690baa9
276261,-90,80,78719c4752b0
276655,-93,80,001dcf1c399b
276963,-94,08,001dcf1c399b
279228,-91,80,e067b357bdde
281195,-79,80,bccab5d2c7d0
282207,-80,80,58238ce84753
282209,-79,80,5a238ce84754
283140,-86,80,e894f6e6fc32
284183,-86,80,fcb4e6c5ee2a
284188,-71,80,9897d19bbdf8
284215,-75,80,d06f820dca00
284220,-75,48,009acdbcffe3
284230,-89,80,345760ecae40
284326,-80,48,5c0339b443d2
284389,-85,80,fcb4e6c5ee2a
284395,-72,80,9897d19bbdf8
284420,-74,80,d06f820dca00
284578,-21,88,e4a471e5f2ef
284640,-89,80,345760ecae40
284678,-27,c8,e4a471e5f2ef
284695,-86,80,fcb4e6c5ee2a
284701,-73,80,9897d19bbdf8
284727,-71,80,d06f820dca00
284728,-77,48,5c0339b443d2
284739,-71,48,009acdbcffe3
284742,-90,80,345760ecae40
284797,-83,80,fcb4e6c5ee2a
284802,-72,80,9897d19bbdf8
284816,-26,c8,e4a471e5f2ef
284830,-71,80,d06f820dca00
287158,-69,80,10c25a50cbd1
287164,-85,80,b0c28721bc6a
287166,-84,80,b2c28721bc6b
287192,-93,80,a09d86167618
287217,-91,80,70037e004f5b
289138,-90,50,84c9c690baa9
289148,-92,80,001dcf1c399b
289153,-90,80,84c9c690baa9
289383,-92,08,84c9c690baa9
289566,-92,88,001dcf1c399b
289982,-91,80,78719c4752b0
292232,-89,80,e067b357bdde
294200,-82,80,bccab5d2c7d0
294816,-80,08,bccab5d2c7d0
295212,-80,80,58238ce84753
295214,-79,80,5a238ce84754
296145,-86,80,e894f6e6fc32
296301,-84,c8,c08c71da7b4a
296667,-83,40,c08c711e9cec
296671,-84,50,e894f6e6fc32
297132,-89,80,345760ecae40
297189,-86,80,fcb4e6c5ee2a
297193,-72,80,9897d19bbdf8
297220,-70,80,d06f820dca00
297324,-70,08,d06f820dca00
297586,-28,88,e4a471e5f2ef
297644,-65,48,009acdbcffe3
297652,-72,88,d06f820dca00
297701,-85,80,fcb4e6c5ee2a
297705,-72,80,9897d19bbdf8
297732,-71,80,d06f820dca00
297747,-87,80,345760ecae40
297829,-21,c8,e4a471e5f2ef
297942,-72,88,d06f820dca00
298008,-85,80,fcb4e6c5ee2a
298012,-72,80,9897d19bbdf8
298039,-71,80,d06f820dca00
298044,-65,48,009acdbcffe3
298054,-88,80,345760ecae40
300165,-69,80,10c25a50cbd1
300169,-85,80,b0c28721bc6a
300171,-83,80,b2c28721bc6b
300197,-93,80,a09d86167618
300222,-92,80,70037e004f5b
300589,-92,88,a09d86167618
300676,-68,80,10c25a50cbd1
300681,-85,80,b0c28721bc6a
300683,-85,80,b2c28721bc6b
300709,-92,80,a09d86167618
300939,-90,80,70037e004f5b
301595,-92,88,e067b32dc3b6
302158,-93,80,84c9c690baa9
302475,-91,80,78719c4752b0
302664,-94,80,001dcf1c399b
303108,-92,50,84c9c690baa9
305237,-88,80,e067b357bdde
307205,-79,80,bccab5d2c7d0
308223,-80,80,58238ce84753
308225,-80,80,5a238ce84754
308940,-82,08,58238ce84753
309151,-83,80,e894f6e6fc32
309915,-92,80,f4c613abff30
310136,-87,80,345760ecae40
310194,-83,80,fcb4e6c5ee2a
310198,-73,80,9897d19bbdf8
310225,-71,80,d06f820dca00
310346,-77,48,5c0339b443d2
310686,-21,c8,e4a471e5f2ef
310751,-91,80,345760ecae40
310808,-82,80,fcb4e6c5ee2a
310812,-68,80,9897d19bbdf8
310839,-74,80,d06f820dca00
310842,-75,88,d06f820dca00
310851,-60,48,009acdbcffe3
310956,-92,80,345760ecae40
311012,-82,80,fcb4e6c5ee2a
311017,-78,80,9897d19bbdf8
311044,-69,80,d06f820dca00
311515,-70,88,d06f820dca00
313166,-84,50,b0c28721bc6a
313169,-69,80,10c25a50cbd1
313174,-84,80,b0c28721bc6a
313176,-83,80,b2c28721bc6b
313202,-91,80,a09d86167618
313234,-78,48,04021f220363
313329,-92,80,70037e004f5b
313475,-71,80,10c25a50cbd1
313484,-85,80,b0c28721bc6a
313485,-84,80,b2c28721bc6b
313510,-91,80,a09d86167618
313732,-77,48,04021f220363
313853,-77,88,04021f220363
313884,-70,80,10c25a50cbd1
313920,-91,08,a09d86167618
313931,-69,88,10c25a50cbd1
313943,-92,80,70037e004f5b
313993,-85,80,b0c28721bc6a
313995,-84,80,b2c28721bc6b
314022,-90,80,a09d86167618
314089,-69,80,10c25a50cbd1
314125,-91,08,a09d86167618
315162,-93,80,84c9c690baa9
315774,-91,80,001dcf1c399b
318447,-94,80,e067b357bdde
320209,-80,80,bccab5d2c7d0
321221,-82,80,58238ce84753
321223,-81,80,5a238ce84754
