tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ
15113,-50,130,7620,-459.814,-98.829,8070.757,731.976,497.379,739.394,239.286,-3.857,-28.140,-134.662,-1.878,13.473
15213,87,90,8060,-457.300,-98.071,8055.800,733.546,497.626,728.795,25.143,7.571,-149.575,15.701,2.465,-105.994
15313,-302,451,8023,-453.843,-84.743,8051.414,733.699,499.655,728.055,34.571,133.286,-43.857,1.535,20.291,-7.399
15413,-207,215,7786,-468.943,-68.357,8028.471,717.406,490.322,710.542,-151.000,163.857,-229.429,-162.935,-93.335,-175.128
15513,-228,395,7879,-459.357,-63.800,8042.314,716.077,493.116,697.944,95.857,45.571,138.433,-13.286,27.949,-125.977
15613,269,384,8591,-442.657,-59.729,8047.329,719.230,495.614,700.602,167.000,40.714,50.142,31.533,24.976,26.581
15713,-31,306,8018,-436.557,-58.843,8054.429,720.883,496.211,697.745,61.000,8.857,71.001,16.528,5.970,-28.574
15813,-66,391,7662,-437.643,-45.300,8045.043,720.267,495.366,698.542,-10.857,135.429,-93.857,-6.162,-8.448,7.964
15913,-448,388,8252,-411.500,-40.214,8075.314,685.360,497.954,659.870,261.429,50.857,302.715,-349.073,25.881,-386.715
16013,-95,394,8599,-407.914,-34.829,8085.971,686.349,500.576,662.214,35.857,53.857,106.567,9.893,26.216,23.435
16113,-190,345,8041,-409.929,-19.643,8042.500,685.499,495.721,555.214,-20.143,151.857,-434.712,-8.500,-48.550,-1069.991
16213,-376,479,8158,-398.186,-8.600,8028.786,678.908,498.090,540.131,117.429,110.429,-137.144,-65.915,23.695,-150.835
16313,-224,414,7926,-389.886,5.557,8021.043,677.433,495.812,537.659,83.000,141.571,-77.427,-14.744,-22.784,-24.724
16413,-89,385,7642,-388.771,22.229,8016.314,677.863,488.618,539.513,11.143,166.714,-47.285,4.297,-71.938,18.540
16513,5,-1148,8811,-386.386,15.800,8033.971,678.950,500.859,544.978,23.857,-64.286,176.567,10.869,122.404,54.659
16613,-171,-376,8559,-387.057,21.500,8031.971,678.713,494.050,542.787,-6.714,57.000,-20.000,-2.366,-68.082,-21.917
16713,-403,166,7884,-384.329,33.700,8033.414,678.259,486.872,542.257,27.285,122.000,14.429,-4.536,-71.786,-5.299
16813,-289,89,8176,-378.500,41.329,8040.971,677.300,483.483,540.502,58.286,76.286,75.571,-9.597,-33.885,-17.545
16913,-234,-234,8600,-377.657,48.457,8053.071,677.443,475.629,543.393,8.429,71.286,121.001,1.428,-78.545,28.909
17013,-410,-437,7977,-386.200,53.186,8065.743,674.017,469.089,530.988,-85.429,47.286,126.714,-34.252,-65.401,-124.053
17113,-294,-473,7821,-375.371,53.843,8063.957,669.306,468.318,531.597,108.286,6.571,-17.856,-47.111,-7.704,6.096
17213,-481,395,8194,-378.943,77.514,8057.372,669.193,442.368,527.071,-35.714,236.714,-65.854,-1.129,-259.502,-45.266
17313,70,-328,7903,-365.214,84.886,8052.686,668.405,431.107,526.964,137.286,73.714,-46.860,-7.886,-112.613,-1.064
17413,-360,-652,8348,-368.457,86.286,8063.714,667.820,428.545,524.947,-32.429,14.000,110.288,-5.842,-25.620,-20.172
17513,-167,-139,7365,-364.000,98.757,8041.929,668.109,408.642,521.839,44.572,124.714,-217.856,2.884,-199.029,-31.085
17613,-16,-264,8658,-349.171,103.914,8040.671,664.137,401.694,520.245,148.286,51.571,-12.573,-39.715,-69.476,-15.941
17713,-153,-317,8389,-341.757,97.157,8054.743,663.388,404.728,516.139,74.143,-67.571,140.713,-7.489,30.339,-41.060
17813,-209,-150,7860,-337.371,92.871,8061.757,663.237,405.733,510.072,43.857,-42.857,70.146,-1.516,10.049,-60.662
17913,-162,200,8350,-316.357,80.971,8073.114,644.903,389.891,507.507,210.143,-119.000,113.569,-183.338,-158.417,-25.656
18013,-410,154,7800,-322.671,77.500,8084.843,643.624,388.140,491.315,-63.143,-34.714,117.285,-12.791,-17.515,-161.923
18113,-260,99,8394,-317.400,82.014,8086.514,642.604,386.523,492.164,52.714,45.143,16.714,-10.203,-16.170,8.491
18213,21,-108,7164,-304.843,82.957,8081.757,640.502,385.977,499.395,125.571,9.429,-47.568,-21.017,-5.456,72.313
18313,-320,62,8374,-309.357,73.529,8088.628,639.479,378.235,500.059,-45.143,-94.286,68.711,-10.234,-77.420,6.642
18413,-179,36,8202,-309.971,66.186,8090.914,639.333,373.878,500.207,-6.143,-73.429,22.856,-1.461,-43.571,1.473
18513,-671,274,7638,-311.671,71.514,8088.543,640.131,374.144,501.952,-17.000,53.286,-23.711,7.989,2.657,17.451
18613,-366,575,8325,-315.300,79.529,8091.271,639.709,378.805,502.710,-36.286,80.143,27.285,-4.224,46.616,7.584
18713,-298,384,7331,-315.271,80.800,8084.186,639.710,379.675,509.830,0.286,12.714,-70.859,0.007,8.694,71.201
18813,-173,412,8743,-309.743,81.343,8107.086,639.243,380.121,502.859,55.286,5.429,229.004,-4.667,4.458,-69.710
18913,-40,459,8392,-297.500,94.029,8112.657,636.077,377.687,503.824,122.429,126.857,55.713,-31.658,-24.336,9.645
19013,-248,296,7407,-300.329,100.600,8101.157,635.410,377.142,510.567,-28.286,65.714,-115.000,-6.669,-5.452,67.433
19113,-284,427,8003,-310.671,108.786,8084.929,629.137,377.918,495.142,-103.428,81.857,-162.285,-62.733,7.763,-154.251
19213,-60,1802,8896,-294.514,130.457,8108.100,620.789,427.628,494.603,161.571,216.714,231.714,-83.482,497.098,-5.391
19313,-278,1923,8207,-296.843,162.857,8107.700,620.417,473.803,494.511,-23.286,324.000,-3.999,-3.721,461.753,-0.915
19413,-88,1287,8331,-283.214,175.214,8095.971,614.347,491.356,479.100,136.286,123.571,-117.290,-60.700,175.523,-154.113
19513,-91,555,7971,-266.471,185.457,8075.071,603.287,491.692,451.383,167.429,102.429,-208.999,-110.595,3.368,-277.165
19613,-5,409,8096,-267.029,188.371,8071.872,603.027,492.404,450.429,-5.571,29.143,-31.997,-2.598,7.112,-9.547
19713,-320,467,8740,-248.829,180.057,8071.729,581.546,482.618,450.215,182.000,-83.143,-1.431,-214.813,-97.856,-2.136
19813,-54,707,8130,-239.386,189.729,8097.929,579.262,486.283,396.245,94.429,96.714,262.002,-22.842,36.655,-539.705
19913,-383,1030,7866,-243.229,208.429,8092.314,579.310,493.021,396.707,-38.429,187.000,-56.143,0.477,67.376,4.619
20013,-86,1004,7879,-241.986,218.314,8087.500,579.552,501.857,397.221,12.429,98.857,-48.145,2.426,88.362,5.141
