tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ,HardAccel,HardBrake,LaneChanL,LaneChanR,ui8LaneHole
17313,-664,580,7850,-471.300,598.471,7994.829,867.542,772.220,476.021,-76.286,61.857,-378.145,-6.197,-18.552,-846.102,0,0,0,0,0
17413,-459,552,7535,-499.286,599.743,7976.300,834.467,772.069,468.253,-279.857,12.714,-185.288,-330.759,-1.508,-77.678,0,0,0,0,0
17513,-351,488,7540,-494.100,599.357,7947.557,834.244,772.118,430.912,51.857,-3.857,-287.427,-2.224,0.489,-373.410,0,0,0,0,0
17613,-226,289,7636,-491.386,589.886,7930.986,834.802,771.801,420.136,27.143,-94.714,-165.713,5.583,-3.175,-107.768,0,0,0,0,0
17713,-552,292,7768,-499.543,576.100,7925.514,832.562,768.372,419.728,-81.571,-137.858,-54.717,-22.402,-34.283,-4.072,0,0,0,0,0
17813,-418,236,7849,-500.286,569.543,7927.429,832.466,769.288,419.069,-7.429,-65.571,19.146,-0.963,9.155,-6.594,0,0,0,0,0
17913,-147,1508,7987,-495.057,583.700,7929.214,833.518,777.268,419.053,52.286,141.572,17.856,10.523,79.800,-0.163,0,0,0,0,0
18013,-243,-1027,8858,-495.429,564.700,7942.300,833.400,799.826,433.307,-3.714,-190.000,130.854,-1.181,225.576,142.544,0,0,0,0,0
18113,-544,-393,8981,-509.271,571.300,7963.571,826.012,789.928,447.011,-138.429,66.000,212.715,-73.885,-98.973,137.038,0,0,0,0,0
18213,509,341,8442,-500.586,565.957,7975.414,833.443,790.203,448.545,86.857,-53.428,118.428,74.316,2.748,15.341,0,0,0,0,0
18313,-460,376,8278,-500.986,552.571,7984.886,833.417,785.356,447.834,-4.000,-133.857,94.717,-0.264,-48.467,-7.112,0,0,0,0,0
18413,95,-56,8366,-487.914,555.143,7993.214,835.484,783.061,449.420,130.714,25.715,83.286,20.671,-22.948,15.864,0,0,0,0,0
18513,-242,172,8428,-483.557,549.114,7994.286,835.960,784.362,450.365,43.571,-60.286,10.713,4.756,13.010,9.448,0,0,0,0,0
18613,-418,188,8153,-481.957,542.143,7989.529,835.976,785.372,446.891,16.000,-69.714,-47.568,0.168,10.093,-34.737,0,0,0,0,0
18713,-1041,544,7818,-487.686,545.229,7976.957,838.410,784.949,439.094,-57.285,30.857,-125.718,24.339,-4.232,-77.972,0,0,0,0,0
18813,-336,523,7492,-481.857,545.671,7965.000,838.026,784.927,440.738,58.286,4.429,-119.570,-3.843,-0.215,16.439,0,0,0,0,0
18913,15,508,7298,-473.914,543.357,7950.029,840.060,784.796,445.318,79.429,-23.143,-149.712,20.342,-1.310,45.795,0,0,0,0,0
19013,-524,324,7747,-470.500,538.286,7945.429,839.364,785.050,445.728,34.143,-50.714,-46.001,-6.962,2.540,4.101,0,0,0,0,0
