tmstm,rssi,type,mac
98063,-82,80,fcb4e6c5ee2a
98067,-87,40,d0bf9c5495bb
99243,-80,80,bccab5d2c7d0
99347,-83,08,bccab5d2c7d0
100038,-79,88,bccab5d2c7d0
100246,-74,80,58238ce84753
100247,-75,80,5a238ce84754
102190,-73,80,d06f820dca00
102252,-89,80,b0c28721bc6a
102254,-88,80,b2c28721bc6b
102256,-70,80,9897d19bbdf8
102284,-79,80,345760ecae40
102384,-93,80,4432c85e95c4
102395,-75,80,d06f820dca00
102509,-93,50,4432c85e95c4
102513,-88,50,b0c28721bc6a
102561,-42,88,e4a471e5f2ef
102565,-69,80,9897d19bbdf8
102601,-69,c8,60f81dcfd4b4
102662,-87,80,b0c28721bc6a
102666,-88,80,b2c28721bc6b
102702,-76,80,d06f820dca00
102737,-69,50,9897d19bbdf8
102766,-68,80,9897d19bbdf8
102814,-69,c8,60f81dcfd4b4
102866,-87,80,b0c28721bc6a
102868,-87,80,b2c28721bc6b
102907,-74,80,d06f820dca00
102908,-61,c8,dc90884a7739
102974,-68,80,9897d19bbdf8
102998,-95,80,4432c85e95c4
103010,-63,88,dc90884a7739
103071,-88,80,b0c28721bc6a
103073,-86,80,b2c28721bc6b
103112,-74,80,d06f820dca00
105175,-63,80,10c25a50cbd1
105192,-93,80,a09d86167618
105514,-95,88,a09d86167618
105896,-63,08,10c25a50cbd1
106142,-93,80,7c8779019402
106241,-90,80,e894f6e6fc32
107217,-92,80,001dcf1c399b
107239,-92,80,e067b32dc3b6
107250,-90,80,78719c4752b0
107262,-89,80,84c9c690baa9
107618,-94,88,84c9c690baa9
107862,-92,50,78719c4752b0
108151,-91,08,001dcf1c399b
108161,-93,80,e067b32dc3b6
110246,-87,80,fcb4e6c5ee2a
110267,-90,80,e067b357bdde
110269,-80,80,d0bf9c5495bb
110274,-80,50,d0bf9c5495bb
112248,-80,80,bccab5d2c7d0
113250,-73,80,58238ce84753
113252,-76,80,5a238ce84754
115186,-81,80,345760ecae40
115195,-82,80,d06f820dca00
115198,-74,48,5c0339b443d2
115247,-74,88,d06f820dca00
115258,-90,80,b0c28721bc6a
115260,-88,80,b2c28721bc6b
115262,-70,80,9897d19bbdf8
115271,-93,48,1801f13b9f03
115388,-96,80,4432c85e95c4
115400,-75,80,d06f820dca00
115457,-72,88,d06f820dca00
115463,-88,80,b0c28721bc6a
115465,-90,80,b2c28721bc6b
115467,-70,80,9897d19bbdf8
115505,-71,c8,60f81dcfd4b4
115539,-97,48,1801f13b9f03
115593,-95,80,4432c85e95c4
115667,-89,80,b0c28721bc6a
115669,-90,80,b2c28721bc6b
115671,-71,80,9897d19bbdf8
115688,-70,50,9897d19bbdf8
115707,-76,80,d06f820dca00
115798,-95,80,4432c85e95c4
115804,-94,48,1801f13b9f03
115809,-63,c8,dc90884a7739
115826,-71,c8,60f81dcfd4b4
115829,-97,48,980ca5325657
115871,-89,80,b0c28721bc6a
115873,-70,80,9897d19bbdf8
115900,-94,80,4432c85e95c4
115912,-75,80,d06f820dca00
115938,-98,48,1801f13b9f03
116025,-64,c8,dc90884a7739
116076,-89,80,b0c28721bc6a
116078,-89,80,b2c28721bc6b
116080,-70,80,9897d19bbdf8
116105,-95,80,4432c85e95c4
118180,-64,80,10c25a50cbd1
118199,-93,80,a09d86167618
118466,-95,88,a09d86167618
118533,-97,80,7c8779019402
119017,-95,08,a09d86167618
119159,-97,80,58238c3436c5
119245,-92,80,e894f6e6fc32
119447,-88,40,3cfa43a7f72d
119989,-91,50,e894f6e6fc32
120245,-92,80,e067b32dc3b6
120255,-91,80,78719c4752b0
120266,-93,80,84c9c690baa9
120337,-92,88,e067b32dc3b6
123172,-79,80,d0bf9c5495bb
123251,-85,80,fcb4e6c5ee2a
123272,-89,80,e067b357bdde
125253,-81,80,bccab5d2c7d0
125489,-83,88,bccab5d2c7d0
126257,-75,80,58238ce84753
126258,-75,80,5a238ce84754
127585,-72,80,d06f820dca00
128171,-90,80,b2c28721bc6b
128191,-78,80,345760ecae40
128194,-94,80,4632c85e95c5
128207,-89,88,345760ecae40
128262,-89,80,b0c28721bc6a
128264,-69,80,9897d19bbdf8
128265,-72,08,9897d19bbdf8
128291,-95,80,4432c85e95c4
128469,-90,80,b2c28721bc6b
128500,-78,80,345760ecae40
128512,-79,80,d06f820dca00
128571,-69,80,9897d19bbdf8
128671,-90,80,b0c28721bc6a
128820,-71,48,5c0339b443d2
128878,-88,80,b2c28721bc6b
129008,-92,80,4432c85e95c4
131185,-65,80,10c25a50cbd1
131204,-95,80,a09d86167618
131253,-96,80,54a6194cc290
131640,-94,80,7c8779019402
131654,-95,80,5a238c3436c6
131862,-92,80,5a238c3436ca
131902,-65,80,10c25a50cbd1
131919,-93,80,a09d86167618
131966,-96,80,54a6194cc290
132069,-96,08,58238c3436c5
132250,-91,80,e894f6e6fc32
133010,-92,50,e894f6e6fc32
133025,-93,40,203dbd3d9ebe
133245,-91,88,e067b32dc3b6
133249,-94,80,e067b32dc3b6
133259,-92,80,78719c4752b0
133271,-91,80,84c9c690baa9
133636,-95,80,001dcf1c399b
133983,-92,50,84c9c690baa9
134249,-80,40,58c5cbd26927
136174,-91,80,e067b357bdde
136177,-78,80,d0bf9c5495bb
136257,-86,80,fcb4e6c5ee2a
136295,-85,50,fcb4e6c5ee2a
136873,-89,40,7429af2723a4
136876,-88,40,d0bf9c5495bb
136993,-89,80,e067b357bdde
138263,-80,80,bccab5d2c7d0
138401,-80,08,bccab5d2c7d0
139260,-73,80,58238ce84753
139262,-76,80,5a238ce84754
141198,-92,48,1801f13b9f03
141204,-74,80,d06f820dca00
141210,-87,88,345760ecae40
141267,-88,80,b0c28721bc6a
141269,-88,80,b2c28721bc6b
141271,-69,80,9897d19bbdf8
141296,-94,80,4432c85e95c4
141298,-80,80,345760ecae40
141307,-74,80,d06f820dca00
141307,-62,c8,dc90884a7739
141310,-70,c8,60f81dcfd4b4
141344,-93,48,1801f13b9f03
141369,-89,80,b0c28721bc6a
141371,-86,80,b2c28721bc6b
141373,-70,80,9897d19bbdf8
141409,-74,80,d06f820dca00
141503,-79,80,345760ecae40
141524,-71,c8,60f81dcfd4b4
141525,-63,c8,dc90884a7739
141574,-87,80,b0c28721bc6a
141576,-68,80,9897d19bbdf8
141614,-75,80,d06f820dca00
141645,-93,50,4432c85e95c4
141679,-86,80,b2c28721bc6b
141705,-95,80,4432c85e95c4
141708,-79,80,345760ecae40
141780,-68,80,9897d19bbdf8
141784,-89,80,b0c28721bc6a
141819,-75,80,d06f820dca00
141856,-92,48,1801f13b9f03
141907,-72,48,5c0339b443d2
141912,-80,80,345760ecae40
141985,-69,80,9897d19bbdf8
141993,-89,80,b2c28721bc6b
142012,-92,80,4432c85e95c4
142024,-74,80,d06f820dca00
142090,-88,80,b0c28721bc6a
142122,-91,48,1801f13b9f03
142132,-86,88,345760ecae40
144190,-64,80,10c25a50cbd1
144207,-91,80,a09d86167618
144252,-95,80,5a238c3436ca
144617,-92,08,a09d86167618
144713,-93,50,a09d86167618
145664,-92,80,e894f6e6fc32
146175,-90,80,84c9c690baa9
146253,-92,80,e067b32dc3b6
146264,-92,80,78719c4752b0
146334,-95,80,001dcf1c399b
147098,-89,88,84c9c690baa9
149179,-91,80,e067b357bdde
149181,-89,80,d0bf9c5495bb
149262,-82,80,fcb4e6c5ee2a
149299,-80,50,fcb4e6c5ee2a
151262,-79,80,bccab5d2c7d0
152265,-73,80,58238ce84753
152266,-75,80,5a238ce84754
154176,-90,80,b2c28721bc6b
154200,-80,80,345760ecae40
154210,-77,80,d06f820dca00
154273,-71,80,9897d19bbdf8
154283,-89,80,b0c28721bc6a
154300,-94,80,4432c85e95c4
154385,-90,80,b2c28721bc6b
154405,-80,80,345760ecae40
154414,-76,80,d06f820dca00
154479,-70,80,9897d19bbdf8
154517,-63,c8,dc90884a7739
154519,-72,c8,60f81dcfd4b4
154540,-69,88,d06f820dca00
154587,-89,80,b2c28721bc6b
154610,-80,80,345760ecae40
154619,-77,80,d06f820dca00
154682,-70,80,9897d19bbdf8
154688,-72,88,9897d19bbdf8
154690,-90,88,3cfa43a7f72d
154799,-88,80,b2c28721bc6b
154815,-80,80,345760ecae40
154824,-77,80,d06f820dca00
154825,-74,48,5c0339b443d2
154828,-71,88,d06f820dca00
154838,-71,c8,60f81dcfd4b4
154867,-64,c8,dc90884a7739
154886,-92,80,b0c28721bc6a
154887,-88,80,b2c28721bc6b
154889,-70,80,9897d19bbdf8
154917,-81,80,345760ecae40
154926,-76,80,d06f820dca00
154990,-89,48,3cfa43a7f72d
154996,-88,80,b0c28721bc6a
155000,-90,80,b2c28721bc6b
155092,-70,80,9897d19bbdf8
155122,-81,80,345760ecae40
155131,-77,80,d06f820dca00
157212,-93,80,a09d86167618
157298,-51,80,10c25a50cbd1
157562,-93,80,5a238c3436c6
157811,-55,88,10c25a50cbd1
157878,-95,88,a09d86167618
157980,-98,80,54a6194cc290
158031,-95,80,a09d86167618
158117,-62,80,10c25a50cbd1
158669,-92,80,e894f6e6fc32
159258,-93,80,e067b32dc3b6
159280,-89,80,84c9c690baa9
159371,-90,80,78719c4752b0
159815,-94,88,001dcf1c399b
159934,-96,08,001dcf1c399b
162286,-90,80,e067b357bdde
162288,-87,80,d0bf9c5495bb
162368,-86,80,fcb4e6c5ee2a
164267,-79,80,bccab5d2c7d0
165176,-76,08,58238ce84753
165271,-77,80,5a238ce84754
165474,-73,80,58238ce84753
167174,-87,80,b0c28721bc6a
167176,-68,80,9897d19bbdf8
167203,-94,80,4432c85e95c4
167278,-88,80,b2c28721bc6b
167293,-86,48,3cfa43a7f72d
167308,-77,80,345760ecae40
167316,-77,80,d06f820dca00
167331,-93,48,980ca5325657
167380,-68,80,9897d19bbdf8
167382,-88,80,b0c28721bc6a
167384,-87,80,b2c28721bc6b
167408,-93,80,4432c85e95c4
167624,-78,80,d06f820dca00
167717,-78,80,345760ecae40
167720,-92,80,4632c85e95c5
167729,-69,c8,60f81dcfd4b4
167789,-88,80,b0c28721bc6a
167791,-68,80,9897d19bbdf8
167799,-88,80,b2c28721bc6b
167820,-78,80,345760ecae40
167828,-76,80,d06f820dca00
167934,-69,88,60f81dcfd4b4
167993,-87,80,b0c28721bc6a
167995,-68,80,9897d19bbdf8
168035,-62,c8,dc90884a7739
168104,-87,80,b2c28721bc6b
168127,-78,80,345760ecae40
168136,-75,80,d06f820dca00
168139,-69,c8,60f81dcfd4b4
168201,-72,08,9897d19bbdf8
168916,-71,80,9897d19bbdf8
170199,-65,80,10c25a50cbd1
170216,-94,80,a09d86167618
170663,-95,d0,a09d86167618
170874,-94,80,5a238c3436c6
171081,-93,80,5a238c3436ca
171776,-93,80,e894f6e6fc32
172183,-90,80,84c9c690baa9
172257,-92,88,84c9c690baa9
172263,-89,80,e067b32dc3b6
172273,-91,80,78719c4752b0
172337,-91,d0,e067b32dc3b6
172342,-95,08,001dcf1c399b
172346,-93,88,001dcf1c399b
172388,-92,80,84c9c690baa9
172468,-92,80,e067b32dc3b6
172478,-92,80,78719c4752b0
175188,-90,80,e067b357bdde
175216,-81,50,fcb4e6c5ee2a
175271,-84,80,fcb4e6c5ee2a
175676,-80,40,7429af2723a4
175682,-78,40,d0bf9c5495bb
177275,-82,80,bccab5d2c7d0
177375,-84,08,bccab5d2c7d0
177424,-87,88,bccab5d2c7d0
178172,-75,80,58238ce84753
178173,-80,80,5a238ce84754
180178,-88,80,b0c28721bc6a
180180,-90,80,b2c28721bc6b
180182,-70,80,9897d19bbdf8
180210,-81,80,345760ecae40
